SACK,Window Size(in kB),CCP,Link Delay(in ms),Link Drop %,Time Taken,Throughput,System Time,Latency
0,16,reno,2,0.5,2.32,461.8,2.34,0.02
0,16,reno,2,5,2.08,505.8,2.08,0.0
0,16,reno,50,0.5,2.78,371.4,2.9,0.12
0,16,reno,50,5,1.8,576.0,1.9,0.1
0,16,cubic,2,0.5,2.58,394.066,2.66,0.08
0,16,cubic,2,5,3.74,270.4,3.84,0.1
0,16,cubic,50,0.5,5.58,203.2,6.04,0.46
0,16,cubic,50,5,10.38,322.64,10.44,0.06
0,256,reno,2,0.5,2.34,456.2,2.88,0.54
0,256,reno,2,5,5.88,245.4,5.92,0.04
0,256,reno,50,0.5,1.78,659.0,2.04,0.26
0,256,reno,50,5,2.06,580.8,2.32,0.26
0,256,cubic,2,0.5,2.14,507.4,2.26,0.12
0,256,cubic,2,5,2.08,562.8,2.36,0.28
0,256,cubic,50,0.5,2.26,472.0,2.34,0.08
0,256,cubic,50,5,1.52,727.8,1.62,0.1
1,16,reno,2,0.5,2.32,446.8,2.56,0.24
1,16,reno,2,5,1.68,613.0,1.7,0.02
1,16,reno,50,0.5,2.42,423.608,2.5,0.08
1,16,reno,50,5,2.06,278.112,2.14,0.08
1,16,cubic,2,0.5,2.76,398.8,2.84,0.08
1,16,cubic,2,5,3.86,281.6,4.08,0.22
1,16,cubic,50,0.5,1.68,622.8,1.76,0.08
1,16,cubic,50,5,2.38,470.0,3.0,0.62
1,256,reno,2,0.5,2.74,373.8,3.04,0.3
1,256,reno,2,5,2.12,595.8,2.16,0.04
1,256,reno,50,0.5,2.14,544.8,2.2,0.06
1,256,reno,50,5,1.62,454.432,1.94,0.32
1,256,cubic,2,0.5,1.72,603.4,1.74,0.02
1,256,cubic,2,5,2.12,590.6,2.18,0.06
1,256,cubic,50,0.5,2.54,407.2,2.58,0.04
1,256,cubic,50,5,2.56,419.8,2.82,0.26